,datetime,open,high,low,close,volume,last_volume
0,2021-12-01 18:54:00,6129.0,6129.0,6126.0,6127.0,162,134449
1,2021-12-01 18:55:00,6127.0,6129.0,6123.0,6125.0,822,134622
2,2021-12-01 18:56:00,6123.0,6127.0,6123.0,6127.0,361,135504
3,2021-12-01 18:57:00,6127.0,6127.0,6126.0,6127.0,188,135866
4,2021-12-01 18:58:00,6127.0,6129.0,6126.0,6129.0,211,136063
5,2021-12-01 18:59:00,6129.0,6133.0,6129.0,6133.0,251,136293
6,2021-12-01 19:00:00,6134.0,6136.0,6134.0,6135.0,549,136572
7,2021-12-01 19:01:00,6135.0,6137.0,6133.0,6133.0,304,137270
8,2021-12-01 19:02:00,6133.0,6137.0,6132.0,6136.0,181,137593
9,2021-12-01 19:03:00,6135.0,6136.0,6132.0,6134.0,368,137777
10,2021-12-01 19:04:00,6134.0,6135.0,6131.0,6134.0,282,138169
11,2021-12-01 19:05:00,6133.0,6135.0,6082.0,6082.0,-33444,138495
12,2021-12-01 19:06:00,6081.0,6081.0,6079.0,6080.0,996,105066
13,2021-12-01 19:07:00,6080.0,6080.0,6078.0,6078.0,197,106076
14,2021-12-01 19:08:00,6078.0,6080.0,6077.0,6077.0,732,106298
15,2021-12-01 19:15:00,6084.0,6086.0,6084.0,6085.0,114,108628
16,2021-12-01 19:16:00,6086.0,6087.0,6084.0,6085.0,99,108752
17,2021-12-01 19:17:00,6085.0,6086.0,6084.0,6084.0,55,108866
18,2021-12-01 19:18:00,6084.0,6085.0,6084.0,6085.0,42,108921
19,2021-12-01 19:33:00,6081.0,6082.0,6081.0,6082.0,54,110805
20,2021-12-01 19:34:00,6082.0,6089.0,6082.0,6087.0,284,110859
21,2021-12-01 19:35:00,6087.0,6087.0,6086.0,6086.0,174,111174
22,2021-12-01 19:36:00,6086.0,6086.0,6084.0,6085.0,95,111348
23,2021-12-01 19:37:00,6084.0,6087.0,6084.0,6087.0,249,111471
24,2021-12-01 19:38:00,6086.0,6087.0,6086.0,6086.0,186,111728
25,2021-12-01 19:39:00,6086.0,6086.0,6084.0,6084.0,97,111914
26,2021-12-01 19:40:00,6084.0,6087.0,6084.0,6086.0,107,112011
27,2021-12-01 19:41:00,6086.0,6086.0,6085.0,6085.0,74,112150
28,2021-12-01 19:42:00,6086.0,6086.0,6083.0,6083.0,49,112226
29,2021-12-01 19:43:00,6082.0,6083.0,6082.0,6083.0,157,112331
30,2021-12-01 19:44:00,6083.0,6085.0,6083.0,6085.0,45,112494
31,2021-12-01 19:45:00,6088.0,6091.0,6088.0,6090.0,261,112655
32,2021-12-01 19:46:00,6090.0,6094.0,6090.0,6094.0,265,112916
33,2021-12-01 19:47:00,6095.0,6097.0,6093.0,6093.0,354,113490
34,2021-12-01 19:48:00,6093.0,6095.0,6093.0,6093.0,89,113862
35,2021-12-01 19:49:00,6096.0,6097.0,6094.0,6095.0,226,114138
36,2021-12-01 19:50:00,6095.0,6095.0,6093.0,6094.0,116,114364
37,2021-12-01 19:51:00,6095.0,6095.0,6092.0,6092.0,110,114499
38,2021-12-01 19:52:00,6093.0,6093.0,6090.0,6090.0,143,114610
39,2021-12-01 19:53:00,6089.0,6091.0,6089.0,6091.0,56,114835
40,2021-12-01 19:54:00,6092.0,6092.0,6091.0,6092.0,40,115008
41,2021-12-01 19:55:00,6092.0,6094.0,6092.0,6094.0,58,115048
42,2021-12-01 20:53:00,6083.0,6084.0,6082.0,6084.0,85,109576
43,2021-12-01 20:54:00,6083.0,6085.0,6083.0,6083.0,89,109663
44,2021-12-01 20:55:00,6083.0,6089.0,6083.0,6087.0,203,109752
45,2021-12-01 20:56:00,6088.0,6088.0,6085.0,6086.0,253,109958
46,2021-12-01 20:57:00,6086.0,6087.0,6085.0,6085.0,125,110211
47,2021-12-01 20:58:00,6086.0,6086.0,6083.0,6084.0,80,110337
48,2021-12-01 20:59:00,6083.0,6085.0,6083.0,6084.0,45,110418
49,2021-12-01 21:00:00,6083.0,6084.0,6083.0,6083.0,38,110465
50,2021-12-01 21:01:00,6083.0,6084.0,6083.0,6084.0,40,110503
51,2021-12-01 21:02:00,6083.0,6084.0,6082.0,6082.0,85,110591
52,2021-12-01 21:03:00,6082.0,6082.0,6081.0,6081.0,155,110676
53,2021-12-01 21:04:00,6081.0,6085.0,6081.0,6085.0,110,110831
54,2021-12-01 21:05:00,6085.0,6088.0,6085.0,6086.0,264,110964
55,2021-12-01 21:06:00,6087.0,6087.0,6085.0,6085.0,112,111245
56,2021-12-01 21:07:00,6085.0,6086.0,6083.0,6086.0,157,111397
57,2021-12-01 21:08:00,6087.0,6088.0,6086.0,6086.0,189,111565
58,2021-12-01 21:09:00,6086.0,6087.0,6085.0,6085.0,164,111754
59,2021-12-01 21:10:00,6085.0,6086.0,6084.0,6086.0,155,111918
60,2021-12-01 21:11:00,6087.0,6087.0,6086.0,6087.0,37,112074
61,2021-12-01 21:12:00,6085.0,6086.0,6085.0,6086.0,66,112160
62,2021-12-01 21:13:00,6085.0,6085.0,6083.0,6083.0,207,112229
63,2021-12-01 21:14:00,6083.0,6084.0,6083.0,6084.0,57,112443
64,2021-12-01 21:15:00,6084.0,6088.0,6084.0,6088.0,174,112505
65,2021-12-01 21:16:00,6087.0,6093.0,6087.0,6093.0,453,112686
66,2021-12-01 21:17:00,6094.0,6097.0,6094.0,6096.0,308,113219
