,datetime,open,high,low,close,volume,last_volume
0,2021-12-01 18:54:00,6097.0,6097.0,6094.0,6094.0,64,62102
1,2021-12-01 18:55:00,6095.0,6096.0,6091.0,6091.0,200,62172
2,2021-12-01 18:56:00,6091.0,6094.0,6091.0,6094.0,91,62397
3,2021-12-01 18:57:00,6093.0,6095.0,6093.0,6094.0,64,62506
4,2021-12-01 18:58:00,6094.0,6095.0,6093.0,6094.0,82,62570
5,2021-12-01 18:59:00,6095.0,6099.0,6095.0,6099.0,95,62669
6,2021-12-01 19:00:00,6103.0,6108.0,6103.0,6108.0,197,62782
7,2021-12-01 19:01:00,6107.0,6110.0,6106.0,6108.0,269,63031
8,2021-12-01 19:02:00,6108.0,6109.0,6107.0,6109.0,241,63300
9,2021-12-01 19:03:00,6109.0,6109.0,6107.0,6107.0,175,63556
10,2021-12-01 19:04:00,6108.0,6108.0,6107.0,6107.0,97,63808
11,2021-12-01 19:05:00,6106.0,6109.0,6056.0,6057.0,-13169,63913
12,2021-12-01 19:06:00,6057.0,6058.0,6054.0,6054.0,198,50744
13,2021-12-01 19:07:00,6054.0,6057.0,6054.0,6055.0,83,50942
14,2021-12-01 19:08:00,6055.0,6057.0,6055.0,6055.0,174,51025
15,2021-12-01 19:15:00,6060.0,6061.0,6060.0,6060.0,23,51513
16,2021-12-01 19:16:00,6060.0,6061.0,6060.0,6061.0,9,51552
17,2021-12-01 19:17:00,6061.0,6062.0,6058.0,6058.0,37,51561
18,2021-12-01 19:18:00,6058.0,6058.0,6058.0,6058.0,0,51598
19,2021-12-01 19:33:00,6054.0,6056.0,6054.0,6056.0,32,52214
20,2021-12-01 19:34:00,6056.0,6059.0,6056.0,6059.0,39,52246
21,2021-12-01 19:35:00,6059.0,6060.0,6059.0,6060.0,45,52285
22,2021-12-01 19:36:00,6061.0,6061.0,6059.0,6060.0,51,52337
23,2021-12-01 19:37:00,6060.0,6062.0,6060.0,6062.0,35,52388
24,2021-12-01 19:38:00,6062.0,6062.0,6061.0,6061.0,13,52423
25,2021-12-01 19:39:00,6061.0,6061.0,6059.0,6059.0,51,52436
26,2021-12-01 19:40:00,6059.0,6063.0,6059.0,6063.0,40,52487
27,2021-12-01 19:41:00,6063.0,6063.0,6061.0,6061.0,35,52527
28,2021-12-01 19:42:00,6061.0,6061.0,6061.0,6061.0,0,52562
29,2021-12-01 19:43:00,6060.0,6060.0,6060.0,6060.0,33,52565
30,2021-12-01 19:44:00,6060.0,6061.0,6060.0,6061.0,6,52598
31,2021-12-01 19:45:00,6062.0,6062.0,6062.0,6062.0,58,52636
32,2021-12-01 19:46:00,6062.0,6065.0,6062.0,6065.0,84,52694
33,2021-12-01 19:47:00,6067.0,6068.0,6065.0,6068.0,306,52947
34,2021-12-01 19:48:00,6068.0,6068.0,6067.0,6068.0,18,53253
35,2021-12-01 19:49:00,6073.0,6075.0,6071.0,6071.0,133,53564
36,2021-12-01 19:50:00,6071.0,6073.0,6071.0,6073.0,50,53703
37,2021-12-01 19:51:00,6073.0,6073.0,6071.0,6071.0,14,53753
38,2021-12-01 19:52:00,6071.0,6071.0,6066.0,6066.0,121,53767
39,2021-12-01 19:53:00,6065.0,6066.0,6065.0,6066.0,59,53891
40,2021-12-01 19:54:00,6066.0,6068.0,6066.0,6068.0,25,53950
41,2021-12-01 19:55:00,6068.0,6068.0,6068.0,6068.0,0,53975
42,2021-12-01 20:53:00,6056.0,6058.0,6056.0,6056.0,42,51785
43,2021-12-01 20:54:00,6056.0,6056.0,6056.0,6056.0,52,51827
44,2021-12-01 20:55:00,6056.0,6060.0,6056.0,6058.0,48,51879
45,2021-12-01 20:56:00,6058.0,6058.0,6055.0,6055.0,46,51927
46,2021-12-01 20:57:00,6055.0,6058.0,6055.0,6056.0,19,51973
47,2021-12-01 20:58:00,6056.0,6056.0,6056.0,6056.0,37,51992
48,2021-12-01 20:59:00,6056.0,6056.0,6055.0,6056.0,67,52029
49,2021-12-01 21:00:00,6057.0,6057.0,6055.0,6055.0,21,52097
50,2021-12-01 21:01:00,6056.0,6056.0,6055.0,6055.0,13,52123
